fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L,hue,saturation,value,emocion,confianza_emocional,score_ira,score_tristeza,score_romanticismo,score_energía,score_alegría,score_relajación,score_calma,score_aburrimiento,coherencia_emocional,temperatura_color,luminosidad_cat,saturacion_cat,emocion_optima,alineacion_emocional,mean_R_norm,mean_G_norm,mean_B_norm,mean_L_norm,mean_a_norm,mean_b_norm,contrast_L_norm,hue_norm,saturation_norm,value_norm
OpenFoodFacts,Aceites,Olio di semi di Lino,https://images.openfoodfacts.org/images/products/805/244/007/2644/front_it.9.400.jpg,69.382,58.4204,47.5128,24.9692,4.0536,7.4504,19.7281,29.9259,0.3152,0.2721,Ira,0.2457,0.2457132432393818,0.10203017480661344,0.1423770177678942,0.12315817419953144,0.1507627295919542,0.02583595520745991,0.08017413324150591,0.1299485719456591,24.57,Neutro,Oscuro,Moderado,Calma,False,0.1624,0.1631,0.1475,0.1228,0.4974,0.4723,0.4326,0.0831,0.3408,0.1623
OpenFoodFacts,Aceites,Rice Bran Oil,https://images.openfoodfacts.org/images/products/941/798/693/5690/front_en.4.400.jpg,186.1958,175.4032,160.8497,71.9928,2.8233,9.3209,17.4742,34.4515,0.1361,0.7302,Aburrimiento,0.226,0.1111017288590991,0.0446152648038944,0.14136260951174393,0.16591438984632026,0.20195319934625922,0.01842619384746861,0.09061500601944968,0.22601160776576476,22.6,Cálido,Luminoso,Apagado,Calma,False,0.6916,0.663,0.6508,0.6744,0.4596,0.503,0.3536,0.0957,0.1472,0.6915
OpenFoodFacts,Aceites,Olio di semi di girasole,https://images.openfoodfacts.org/images/products/805/244/007/2262/front_it.3.400.jpg,131.6259,131.3772,124.2353,54.1999,-0.174,4.4398,22.9453,57.9809,0.0561,0.5162,Neutro/Ambiguo,0.2164,0.07154711666489738,0.1938453994542387,0.15352343821796044,0.11559184388064213,0.06896893253619606,0.07819708116002845,0.10195265206020437,0.2163735360258325,21.64,Neutro,Medio,Apagado,Calma,False,0.4444,0.4749,0.4882,0.4657,0.3677,0.4228,0.5452,0.1611,0.0607,0.4443
OpenFoodFacts,Aceites,Olio extra vergine di oliva aromatizzato al peperoncino,https://images.openfoodfacts.org/images/products/800/354/001/9169/front_it.21.400.jpg,151.6101,140.7839,129.0681,58.5214,2.4796,8.0912,21.636,31.1839,0.1487,0.5945,Neutro/Ambiguo,0.1999,0.10433371726951518,0.10463428454565073,0.1811851812165363,0.17447882560001945,0.13427111293674351,0.025028931098672668,0.07615676680918299,0.19991118052367915,19.99,Cálido,Medio,Apagado,Calma,False,0.5349,0.5151,0.5097,0.5164,0.4491,0.4828,0.4994,0.0866,0.1608,0.5348
OpenFoodFacts,Aceites,Olio Extra Vergine di Oliva,https://images.openfoodfacts.org/images/products/800/846/011/1009/front_it.11.400.jpg,109.465,103.6665,92.3479,43.2709,2.4678,7.844,27.6096,39.6747,0.1564,0.4293,Tristeza,0.2377,0.10391314351524761,0.23771684404717278,0.18043207986228557,0.11336605625219051,0.12610272403961625,0.026229130313413118,0.07650033900731203,0.13573968296276215,23.77,Neutro,Medio,Apagado,Calma,False,0.344,0.3565,0.3466,0.3375,0.4487,0.4788,0.7085,0.1102,0.1691,0.3439
OpenFoodFacts,Aceites,Supreme Refined Oil,https://images.openfoodfacts.org/images/products/890/602/221/2037/front_en.4.400.jpg,149.8105,138.8337,132.9559,57.5332,3.5519,5.5855,30.2387,20.9241,0.1125,0.5875,Neutro/Ambiguo,0.1996,0.08898350605436581,0.12228212598457373,0.17428264174472016,0.15807857080630727,0.1244082802473353,0.041961589794333926,0.09038466200677629,0.1996186233615875,19.96,Neutro,Medio,Apagado,Calma,False,0.5268,0.5067,0.5269,0.5048,0.482,0.4417,0.8006,0.0581,0.1216,0.5267
OpenFoodFacts,Aceites,Vitthal Filtered Groundnut Oil,https://images.openfoodfacts.org/images/products/890/800/700/9410/front_en.3.400.jpg,135.7912,127.3781,108.5398,52.9608,0.7668,11.6684,21.3035,41.4767,0.2007,0.5325,Romanticismo,0.223,0.11369484304632242,0.14246124505759708,0.22301798133629736,0.18802399493090602,0.15195746427659712,0.012805571808739435,0.03825816970188213,0.12978072984165845,22.3,Cálido,Medio,Apagado,Calma,False,0.4632,0.4578,0.4185,0.4511,0.3966,0.5416,0.4877,0.1152,0.217,0.4631
OpenFoodFacts,Aceites,Olio di Semi Di Girasole,https://images.openfoodfacts.org/images/products/800/354/022/6321/front_it.3.400.jpg,177.4219,148.6899,114.3689,63.2259,6.1496,22.4057,12.5901,32.6592,0.3554,0.6958,Energía,0.2613,0.02377235643652098,0.04798502470709437,0.1580591808804199,0.2612528574404188,0.22812049142077997,0.017995669311019386,0.027668249988906022,0.2351461698148406,26.13,Cálido,Medio,Moderado,Calma,False,0.6519,0.5489,0.4444,0.5716,0.5616,0.7181,0.1826,0.0907,0.3843,0.6518
OpenFoodFacts,Aceites,Olio extravergine di oliva,https://images.openfoodfacts.org/images/products/800/354/072/0010/front_it.3.400.jpg,124.3984,121.1441,93.9983,49.3875,-3.0157,15.1528,26.1191,53.5771,0.2444,0.4878,Romanticismo,0.2343,0.08895141318039446,0.19755057671273277,0.23425624471166795,0.19822433735668646,0.16423339941713994,0.011642052172513427,0.014777256858012197,0.0903647195908528,23.43,Cálido,Medio,Apagado,Calma,False,0.4116,0.4312,0.3539,0.4092,0.2806,0.5989,0.6563,0.1488,0.2642,0.4115
OpenFoodFacts,Aceites,Olio extravergine d'oliva,https://images.openfoodfacts.org/images/products/800/846/000/4325/front_it.3.400.jpg,81.6513,82.3281,64.7986,33.6453,-3.2004,10.2882,20.8538,62.3166,0.2129,0.3229,Neutro/Ambiguo,0.2065,0.19508851846362607,0.20652218440757342,0.17583796520186334,0.135002741191483,0.1221635271097205,0.014121839577423936,0.048850825323363635,0.10241239872494608,20.65,Cálido,Oscuro,Apagado,Calma,False,0.2179,0.2653,0.2242,0.2245,0.275,0.5189,0.472,0.1731,0.2302,0.221
OpenFoodFacts,Aceites,Liquid Coconut Premium Oil,https://images.openfoodfacts.org/images/products/934/958/000/0651/front_en.16.400.jpg,122.1383,117.2551,106.0556,48.3851,0.2855,6.6931,25.0533,41.7822,0.1317,0.479,Tristeza,0.2319,0.09054402149815904,0.2319299560028902,0.172854433181189,0.10703334042960962,0.0895885983418831,0.044063358637688434,0.09156694274682635,0.1724193491617542,23.19,Neutro,Medio,Apagado,Calma,False,0.4014,0.4145,0.4075,0.3975,0.3818,0.4599,0.619,0.1161,0.1424,0.4013
OpenFoodFacts,Aceites,Olio EVO,https://images.openfoodfacts.org/images/products/800/846/007/0122/front_it.3.400.jpg,153.1508,144.706,121.7934,59.7578,0.0775,13.758,19.8749,43.8415,0.2047,0.6006,Energía,0.2405,0.10589558787207118,0.06406738818448103,0.20986281961752112,0.24053342866545221,0.17752871546800916,0.012431697344724194,0.02415836547730315,0.16552199737043793,24.05,Cálido,Medio,Apagado,Calma,False,0.5419,0.5318,0.4774,0.5309,0.3755,0.576,0.4377,0.1218,0.2213,0.5418
OpenFoodFacts,Aceites,Olio di oliva,https://images.openfoodfacts.org/images/products/802/558/504/0014/front_it.3.400.jpg,121.4878,104.308,77.2543,43.5186,3.3629,16.7755,31.0625,36.6967,0.3641,0.4764,Tristeza,0.2402,0.07193307751193072,0.24020448127316338,0.20921356623616907,0.1747452334142325,0.20170759053613577,0.013267261478446347,0.01896167251689896,0.06996711703302333,24.02,Cálido,Medio,Moderado,Calma,False,0.3984,0.3592,0.2796,0.3404,0.4762,0.6256,0.8295,0.1019,0.3937,0.3983
OpenFoodFacts,Aceites,Olio extravergine d'oliva,https://images.openfoodfacts.org/images/products/800/020/100/0061/front_it.3.400.jpg,124.4869,98.8986,78.0543,43.3093,7.9135,15.7631,25.7712,26.9349,0.373,0.4882,Tristeza,0.2233,0.0676087416787526,0.22334627015062367,0.21113845101891812,0.17942742803150463,0.21396462742605302,0.013531394701771036,0.02297951157964361,0.06800357541273334,22.33,Cálido,Medio,Moderado,Calma,False,0.412,0.3361,0.2831,0.3379,0.6157,0.6089,0.6442,0.0748,0.4033,0.412
OpenFoodFacts,Aceites,Olio extra vergine di oliva biologico,https://images.openfoodfacts.org/images/products/805/244/007/1173/front_de.24.400.jpg,121.4634,121.1106,115.7281,49.2953,0.455,3.1034,29.9201,56.3092,0.0472,0.4763,Tristeza,0.2495,0.059577560572578535,0.24953736813043365,0.15409912977202092,0.08978907753131182,0.08108008277004103,0.08679696366842121,0.095905048532181,0.18321476902301187,24.95,Neutro,Medio,Apagado,Calma,False,0.3983,0.431,0.4504,0.4081,0.387,0.4009,0.7895,0.1564,0.051,0.3982
OpenFoodFacts,Aceites,olive pomace oil,https://images.openfoodfacts.org/images/products/800/354/022/7014/front_fr.3.400.jpg,117.513,84.9642,67.1568,38.5102,11.2635,15.6888,17.6548,21.2177,0.4285,0.4608,Alegría,0.2212,0.07390057883345873,0.21966323087731843,0.19728105567662094,0.1815841349642985,0.22122413182833922,0.014646599104622418,0.02702313905848561,0.06467712965685615,22.12,Cálido,Oscuro,Moderado,Calma,False,0.3804,0.2766,0.2347,0.2816,0.7184,0.6077,0.3599,0.0589,0.4633,0.3803
OpenFoodFacts,Aceites,Vitthal Refined Soyabean Oil,https://images.openfoodfacts.org/images/products/890/800/700/9083/front_en.3.400.jpg,89.0578,93.2694,64.312,38.05,-6.3584,16.0918,18.3864,68.7265,0.3105,0.3658,Tristeza,0.2715,0.1022699777885938,0.2715088180947368,0.1960737979899923,0.17596811963510897,0.1705195537541159,0.012121784018282077,0.010791125298276296,0.060746823420893784,27.15,Cálido,Oscuro,Moderado,Calma,False,0.2515,0.3121,0.2221,0.2762,0.1781,0.6143,0.3856,0.1909,0.3357,0.2706
OpenFoodFacts,Aceites,Olio extra vergine di oliva Terra di Bari,https://images.openfoodfacts.org/images/products/800/911/301/3114/front_fr.17.400.jpg,114.5699,109.1885,99.6014,45.4134,0.598,6.0655,22.3029,38.4291,0.1306,0.4493,Tristeza,0.2578,0.08570582675079161,0.25782425221023797,0.1616105404820221,0.09177115339818921,0.08913130895936622,0.0519883872663892,0.09490379219949395,0.1670647387335098,25.78,Neutro,Medio,Apagado,Calma,False,0.3671,0.3801,0.3788,0.3626,0.3914,0.4495,0.5227,0.1068,0.1412,0.367
OpenFoodFacts,Aceites,Classico 100% Italian Extra Virgin Olive Oil,https://images.openfoodfacts.org/images/products/800/551/000/7848/front_en.4.400.jpg,110.9483,103.1026,31.7686,42.1932,-5.371,36.2801,24.4622,54.0548,0.7137,0.4351,Tristeza,0.498,0.018166209967573625,0.4980476020052637,0.19114252508748933,0.04635944836744894,0.07758500659081209,0.023369063522139952,0.023292003688438496,0.1220381407708339,49.8,Cálido,Medio,Intenso,Calma,False,0.3507,0.3541,0.0776,0.3248,0.2084,0.9461,0.5983,0.1502,0.7717,0.3506
OpenFoodFacts,Aceites,Blended Vegetable Oil,https://images.openfoodfacts.org/images/products/930/063/339/1676/front_en.3.400.jpg,137.1381,154.5634,125.2196,61.943,-10.4107,14.383,18.6511,95.6299,0.1898,0.6061,Energía,0.2891,0.06994442259455502,0.04914069699954401,0.19938474040508486,0.2890735710885903,0.1747364862830151,0.010913556151012183,0.008595287553616628,0.1982112389245819,28.91,Cálido,Medio,Apagado,Calma,False,0.4693,0.574,0.4926,0.5565,0.0539,0.5862,0.3948,0.2657,0.2052,0.5482
OpenFoodFacts,Aceites,Dolix olio di semi di girasole,https://images.openfoodfacts.org/images/products/800/846/000/2482/front_en.7.400.jpg,151.1287,131.7115,112.582,56.2386,5.8055,13.526,14.9379,29.7761,0.2551,0.5927,Energía,0.2284,0.09125387127855063,0.08909198564182452,0.2228821751470843,0.2284457150451867,0.20434253120673537,0.012888371001284007,0.025305636049936665,0.12578971462939784,22.84,Cálido,Medio,Moderado,Calma,False,0.5327,0.4763,0.4365,0.4896,0.5511,0.5722,0.2648,0.0827,0.2758,0.5327
OpenFoodFacts,Aceites,Olio di semi di girasole,https://images.openfoodfacts.org/images/products/800/354/022/0633/front_it.3.400.jpg,156.2467,145.7272,122.4193,60.4047,0.9113,14.2555,19.4686,41.3415,0.2165,0.6127,Energía,0.2448,0.10045902002936868,0.057482455313731425,0.2061015891141145,0.2447690871069282,0.18819109562468384,0.012674387638492797,0.02284680753448048,0.16747555763820005,24.48,Cálido,Medio,Apagado,Calma,False,0.5559,0.5362,0.4801,0.5385,0.401,0.5841,0.4235,0.1148,0.2341,0.5558
OpenFoodFacts,Aceites,Extra Virgin Olive Oil,https://images.openfoodfacts.org/images/products/931/017/570/0102/front_en.30.400.jpg,117.8249,114.3219,97.4348,47.5274,-1.532,10.1912,19.8977,49.6921,0.1731,0.4621,Tristeza,0.2203,0.11713884799513477,0.22026208162807712,0.21333155191719913,0.14517147059133417,0.11553295391110713,0.014640258913167356,0.05124446257462986,0.12267837246935043,22.03,Cálido,Medio,Apagado,Calma,False,0.3818,0.402,0.3692,0.3874,0.3261,0.5173,0.4385,0.138,0.1872,0.3818
OpenFoodFacts,Aceites,Olio extra vergine di oliva,https://images.openfoodfacts.org/images/products/800/354/022/7205/front_fr.3.400.jpg,100.5158,93.401,85.3383,39.03,2.0826,6.0272,23.2155,31.8736,0.151,0.3942,Tristeza,0.2501,0.101350934263456,0.2500943311967254,0.15024133456599015,0.09129537766933765,0.11250701100493064,0.0473650021065267,0.09404975227765373,0.15309625691537967,25.01,Neutro,Oscuro,Apagado,Calma,False,0.3034,0.3126,0.3155,0.2877,0.4369,0.4489,0.5547,0.0885,0.1633,0.3034
OpenFoodFacts,Aceites,Olio di semi di mais,https://images.openfoodfacts.org/images/products/800/911/303/1118/front_fr.3.400.jpg,204.938,202.5026,126.8684,80.4609,-8.2269,37.9016,13.8491,58.1283,0.3809,0.8037,Calma,0.3116,0.0019164134168496668,0.016448322796340783,0.015674659864125466,0.04178003219508078,0.25218594516595333,0.09244918005028559,0.31159755362634994,0.2679478928850144,31.16,Cálido,Luminoso,Moderado,Calma,True,0.7765,0.7788,0.4999,0.7738,0.1209,0.9728,0.2267,0.1615,0.4118,0.7765
OpenFoodFacts,Aceites,olio di semi di girasole,https://images.openfoodfacts.org/images/products/800/846/002/0110/front_it.10.400.jpg,116.0027,92.2277,65.0804,39.9107,6.2348,18.4949,22.6988,31.9867,0.439,0.4549,Tristeza,0.2537,0.06214090294169509,0.25369802226210403,0.18898188311998682,0.17044670240582396,0.2186203196432484,0.014866856820784258,0.022284686774367103,0.06896062603199028,25.37,Cálido,Oscuro,Moderado,Calma,False,0.3736,0.3076,0.2255,0.298,0.5642,0.6538,0.5366,0.0889,0.4746,0.3735
OpenFoodFacts,Aceites,Olio extra vergine di oliva,https://images.openfoodfacts.org/images/products/800/911/301/4982/front_it.3.400.jpg,99.4996,83.0342,63.2635,35.6272,4.7117,13.9206,22.577,32.7365,0.3642,0.3902,Neutro/Ambiguo,0.208,0.13505699082217523,0.19434204872495503,0.19105568933592995,0.1678401202245906,0.20795394522060945,0.013363438331896455,0.025222233973113718,0.06516553336672955,20.8,Cálido,Oscuro,Moderado,Calma,False,0.2988,0.2683,0.2174,0.2478,0.5175,0.5786,0.5323,0.0909,0.3938,0.2988
OpenFoodFacts,Aceites,Olio extravergine di oliva,https://images.openfoodfacts.org/images/products/800/846/090/0429/front_it.3.400.jpg,120.4905,101.5846,89.2893,44.6723,6.1629,11.8013,21.5883,23.6439,0.259,0.4725,Romanticismo,0.2214,0.10172822049627775,0.20039697134471615,0.2214189806396202,0.1690822987458949,0.1881049605164887,0.012367480005956244,0.0304086645735335,0.07649242367751256,22.14,Cálido,Medio,Moderado,Calma,False,0.3939,0.3476,0.333,0.3539,0.562,0.5438,0.4977,0.0657,0.28,0.3938
OpenFoodFacts,Aceites,Ghee Clarified Butter,https://images.openfoodfacts.org/images/products/934/958/000/2976/front_en.3.400.jpg,124.4078,112.2073,81.8191,46.6372,1.3688,16.7544,26.3161,42.8116,0.3423,0.4879,Tristeza,0.2237,0.07205283355721925,0.22370661891161722,0.21998113545551767,0.1845284355847283,0.19094130929303788,0.012895939650767947,0.017166137013744594,0.07872759053336717,22.37,Cálido,Medio,Moderado,Calma,False,0.4117,0.393,0.2998,0.377,0.415,0.6252,0.6632,0.1189,0.3701,0.4116
OpenFoodFacts,Aceites,Huile speciale pizza,https://images.openfoodfacts.org/images/products/315/570/000/4463/front_fr.10.400.jpg,100.6265,87.6873,76.6934,37.5482,3.6477,8.5218,18.8502,27.5616,0.2378,0.3946,Neutro/Ambiguo,0.2161,0.1305534216774055,0.21614415122862196,0.17709210176489296,0.12397748153677408,0.1487072518887374,0.019752282515323794,0.06720775230123979,0.11656555708700453,21.61,Cálido,Oscuro,Apagado,Calma,False,0.3039,0.2882,0.2771,0.2703,0.4849,0.4899,0.4018,0.0766,0.2571,0.3038
OpenFoodFacts,Aceites,Olio extra verging di Olivia,https://images.openfoodfacts.org/images/products/802/558/501/0994/front_fr.4.400.jpg,121.9101,111.4959,106.3864,46.2692,3.8287,4.7579,30.6412,19.7485,0.1273,0.4781,Neutro/Ambiguo,0.2164,0.08477294722220373,0.2163799159238183,0.18015531025476714,0.11712521523543505,0.11535794693633639,0.045967691474320886,0.08995466969123392,0.15028630326188466,21.64,Neutro,Medio,Apagado,Calma,False,0.4004,0.3899,0.4089,0.3726,0.4905,0.4281,0.8147,0.0549,0.1376,0.4003
OpenFoodFacts,Aceites,Red island Olive oil x/virg 500ml,https://images.openfoodfacts.org/images/products/933/340/400/0224/front_en.3.400.jpg,144.6154,96.4813,59.7024,45.7683,14.6592,29.534,25.4649,25.9882,0.5872,0.5671,Tristeza,0.3225,0.02137557566350242,0.32248864043266384,0.21076578630937515,0.11241999061608596,0.16615112457614722,0.020718918967143684,0.03405737871718743,0.11202258471789439,32.25,Cálido,Medio,Moderado,Calma,False,0.5032,0.3258,0.2016,0.3668,0.8225,0.8352,0.6334,0.0722,0.6349,0.5031
OpenFoodFacts,Aceites,Priya Vanaspati,https://images.openfoodfacts.org/images/products/890/170/900/8828/front_en.5.400.jpg,117.4308,116.7599,118.7062,50.4477,7.3148,2.7297,23.1935,260.6823,0.0164,0.4655,Neutro/Ambiguo,0.2169,0.1070805916985416,0.15982688160252434,0.21693212056753286,0.1703037664377111,0.09463125759229513,0.027224457825479786,0.08228617364565531,0.1417147506302599,21.69,Cálido,Medio,Apagado,Calma,False,0.3801,0.4124,0.4637,0.4217,0.5973,0.3947,0.5539,0.7242,0.0177,0.3857
OpenFoodFacts,Aceites,Olio extra vergine di oliva 100% italiano,https://images.openfoodfacts.org/images/products/802/558/500/1077/front_it.3.400.jpg,103.3892,86.2782,76.5783,37.3846,5.8377,8.6631,24.5016,21.7074,0.2593,0.4054,Neutro/Ambiguo,0.1966,0.13327961568547766,0.1965507598999921,0.19375008496255905,0.14462980830903935,0.16582722418163595,0.015193997603909798,0.054605578890330374,0.09616293046705576,19.66,Cálido,Oscuro,Moderado,Calma,False,0.3164,0.2822,0.2766,0.2684,0.5521,0.4922,0.5997,0.0603,0.2804,0.3163
OpenFoodFacts,Aceites,Huile de Lin,https://images.openfoodfacts.org/images/products/805/244/007/2316/front_fr.3.400.jpg,125.8969,124.8135,126.202,51.8928,1.722,0.0691,20.4089,286.816,0.011,0.4949,Neutro/Ambiguo,0.1934,0.07715086078440357,0.19054223978187637,0.19337620856833104,0.1571140776419708,0.04406739916114496,0.07537987687996413,0.09606923907638638,0.16630009810592275,19.34,Neutro,Medio,Apagado,Calma,False,0.4184,0.4468,0.4969,0.4386,0.4259,0.351,0.4564,0.7968,0.0119,0.4197
OpenFoodFacts,Aceites,Olio Extravergine di Oliva,https://images.openfoodfacts.org/images/products/802/407/700/1731/front_de.4.400.jpg,165.5148,164.1706,146.69,66.2185,-2.1544,8.8132,24.4096,55.7157,0.1137,0.6491,Aburrimiento,0.2564,0.11886467126369356,0.06583882397643905,0.1539785044372939,0.18578845538234,0.12236588078359743,0.021301798725653933,0.0754563954492267,0.2564054699817554,25.64,Cálido,Medio,Apagado,Calma,False,0.5979,0.615,0.5879,0.6067,0.307,0.4947,0.5965,0.1548,0.1229,0.5979
OpenFoodFacts,Aceites,Olio extravergine di oliva,https://images.openfoodfacts.org/images/products/800/020/100/0030/front_fr.9.400.jpg,130.1809,105.8259,75.4939,45.0441,5.5973,20.3322,26.444,33.2788,0.4201,0.5105,Tristeza,0.2615,0.036531508236043814,0.26148880280370296,0.20137588809097093,0.17329307641967698,0.20698070390598688,0.015367482241726271,0.021937369466397592,0.08302516883549453,26.15,Cálido,Medio,Moderado,Calma,False,0.4378,0.3657,0.2717,0.3583,0.5447,0.684,0.6677,0.0924,0.4542,0.4377
OpenFoodFacts,Aceites,Extra Virgin Olive Oil,https://images.openfoodfacts.org/images/products/931/017/570/1109/front_en.9.400.jpg,101.0078,106.1685,89.4321,42.5356,-3.7557,7.5362,29.4762,78.5011,0.1576,0.4163,Tristeza,0.2744,0.11789415693344478,0.2743873617574213,0.18389587420103276,0.10786549428239538,0.07564695075111591,0.024834582320753185,0.07498292217774892,0.1404926575760878,27.44,Neutro,Medio,Apagado,Calma,False,0.3056,0.3672,0.3336,0.3288,0.2579,0.4737,0.7739,0.2181,0.1704,0.3289
OpenFoodFacts,Aceites,Tata Simply Better Cold Pressed Groundnut Oil,https://images.openfoodfacts.org/images/products/890/404/390/6928/front_en.3.400.jpg,103.5062,102.0115,101.2907,42.7534,3.5515,-0.3504,23.9665,19.5206,0.0214,0.4059,Tristeza,0.2503,0.08950988262327153,0.2502516006608198,0.16841592761504748,0.12032698247093006,0.038047145386917794,0.07421628116941252,0.10718563221239608,0.15204654786120467,25.03,Neutro,Medio,Apagado,Calma,False,0.317,0.3494,0.3863,0.3314,0.482,0.3441,0.581,0.0542,0.0231,0.3169
