fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L,emocion_1,valencia_1,deltaE_1,emocion_2,deltaE_2,emocion_3,deltaE_3
Amazon Berkeley Objects,Moda - Pendientes,[アマゾンコレクション] Amazon Collection 14Kイエローゴールド 2.5mmラウンド 五石爪ファンシーグリーンのスワロフスキージルコニア 半 フープ スタッド ピアス 両耳用スタッドピアス JEE13625_5NNFG00A100,https://m.media-amazon.com/images/I/515SRd7XpuL._SX512_.jpg,251.4742,252.4195,250.6763,98.9777,-0.6108,0.797,5.7262,Soothed,Positiva - Baja activación,21.15,Refreshed,25.65,Calm,29.5
Amazon Berkeley Objects,Moda - Zapatos,"find. Women's Felix-1w1-112 Brogue, Blue Navy, 7",https://m.media-amazon.com/images/I/71S8jh9mayL._SX512_.jpg,222.1958,222.6046,224.5886,87.6696,0.2378,-1.1286,26.935,Soothed,Positiva - Baja activación,11.62,Refreshed,15.58,Relaxed,19.88
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - 206 Collective Men's Pike Driving Slip-on Loafer, Black, 9.5 D US",https://m.media-amazon.com/images/I/61uONZVpAEL._SX512_.jpg,116.406,115.0483,113.7673,45.2431,0.3432,1.0497,41.0828,Bored,Negativa - Baja activación,6.01,Sleepy,8.48,Irritated,16.56
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Tan PU Formal Shoes - 9 UK (AZ-SY-437),https://m.media-amazon.com/images/I/814RXC4DgkL._SX512_.jpg,201.7395,175.549,151.3837,72.7167,7.5132,17.3066,28.2126,Happy,Positiva - Alta activación,12.56,Energized,12.99,Alert,18.64
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Essentials Women's Manny, Brown Tan, 38.5 EU",https://m.media-amazon.com/images/I/61fH9aTfMIL._SX512_.jpg,195.4882,170.5361,158.2791,70.9501,8.126,10.5564,24.6691,Refreshed,Positiva - Baja activación,16.31,Romantic,17.42,Happy,18.65
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Leather Formal Slip-on shoes/India (44 EU)(AZ-WS-126B),https://m.media-amazon.com/images/I/71cyz3P4DKL._SX512_.jpg,213.1551,213.1409,213.1002,83.7184,-0.0053,0.0306,33.1088,Soothed,Positiva - Baja activación,9.96,Refreshed,11.8,Relaxed,16.66
Amazon Berkeley Objects,Moda - Zapatos,Bourge Men's D.Grey and Sea Green Running Shoes-6 UK (40 EU) (7 US) (Reef-65),https://m.media-amazon.com/images/I/81L8EV8ocAL._SX512_.jpg,196.3751,198.1327,199.7935,78.3589,-0.2423,-1.1204,31.9644,Refreshed,Positiva - Baja activación,8.31,Soothed,8.5,Relaxed,12.05
Amazon Berkeley Objects,Moda - Mochilas,AmazonBasics Casual Sports Backpack,https://m.media-amazon.com/images/I/91ULzMo7OZL._SX512_.jpg,185.6492,195.891,218.3808,78.1198,3.3253,-13.2928,29.0233,Soothed,Positiva - Baja activación,12.78,Calm,16.21,Relaxed,16.22
Amazon Berkeley Objects,Hogar - Mesas,"Amazon Brand – Rivet Bristol Natural Edge Black Metal Side Table, Walnut",https://m.media-amazon.com/images/I/81Xh+yZvD1L._SX512_.jpg,206.0093,203.5813,200.8863,80.4489,0.5967,2.0538,33.0284,Refreshed,Positiva - Baja activación,9.27,Soothed,11.08,Relaxed,15.26
Amazon Berkeley Objects,Moda - Pendientes,Genuine Emerald and Cubic Zirconia Stud Earrings,https://m.media-amazon.com/images/I/81o5oM7j6uL._SX512_.jpg,198.8838,214.09,204.5365,84.2156,-5.6196,3.9004,21.2072,Refreshed,Positiva - Baja activación,10.26,Soothed,10.85,Relaxed,16.94
Amazon Berkeley Objects,Moda - Zapatos,"find. Suede Derbys, Black), 7 UK",https://m.media-amazon.com/images/I/71w+9SNWhbL._SX512_.jpg,231.7012,231.2788,231.4096,90.8091,0.2152,-0.0097,25.8599,Soothed,Positiva - Baja activación,14.31,Refreshed,18.17,Relaxed,22.92
Amazon Berkeley Objects,Hogar - Sillas,"AmazonBasics LeatherSoft Kids/Youth Recliner with Armrest Storage, 5+ Age Group, Light Blue",https://m.media-amazon.com/images/I/71T+bO0FkKL._SX512_.jpg,163.0271,196.2437,211.3313,77.1283,-7.0657,-11.2342,17.6594,Soothed,Positiva - Baja activación,5.97,Calm,5.97,Relaxed,9.52
Amazon Berkeley Objects,Moda - Zapatos,Burwood Men's Black Leather Formal Shoes-6 UK (40 EU) (BW 397),https://m.media-amazon.com/images/I/715Q4uySlWL._SX512_.jpg,193.3401,193.3531,193.3688,76.3192,-0.0031,-0.0072,35.0909,Refreshed,Positiva - Baja activación,7.1,Soothed,9.92,Relaxed,11.35
Amazon Berkeley Objects,Moda - Zapatos,"find. Women's Round Toe High Court, (Mandarina Red), 4 UK",https://m.media-amazon.com/images/I/71aNVApPGZL._SX512_.jpg,248.5317,195.9877,185.2374,85.5149,19.2949,17.2723,21.1252,Happy,Positiva - Alta activación,17.49,Energized,23.03,Alert,23.98
Amazon Berkeley Objects,Moda - Collares,"Trendy Wiggle Choker Necklace, 12""",https://m.media-amazon.com/images/I/71N27IBoUNL._SX512_.jpg,235.7771,235.6684,235.5416,92.4768,0.0255,0.0765,23.872,Soothed,Positiva - Baja activación,15.55,Refreshed,19.65,Calm,24.24
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Suede Leather Casual Derby shoes - 7 UK/India (41 EU)(AZ-WS-120A),https://m.media-amazon.com/images/I/91MCy5GYp8L._SX512_.jpg,211.5161,207.7247,206.3037,82.0678,1.4156,1.463,32.9227,Refreshed,Positiva - Baja activación,11.07,Soothed,11.44,Relaxed,16.61
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Brown PU Formal Shoes - 7 UK (AZ-SY-437),https://m.media-amazon.com/images/I/81Ev54-ydWL._SX512_.jpg,144.1748,128.7839,125.2517,52.5879,6.5262,5.1227,40.1324,Anxious,Negativa - Alta activación,9.16,Irritated,10.03,Sensual,11.68
Amazon Berkeley Objects,Hogar - Sofás,"Amazon Brand – Rivet Eva Mid-Century Modern Tufted Velvet Down-Filled Sectional Sofa Couch, 87""W, Navy",https://m.media-amazon.com/images/I/81KZp1brWYL._SX512_.jpg,103.9116,112.5393,121.5038,43.7734,-0.5112,-6.9048,41.7174,Sleepy,Negativa - Baja activación,1.51,Bored,3.44,Sad,11.56
Amazon Berkeley Objects,Hogar - Sillas,"Amazon Brand – Ravenna Home Radford Modern Curved Arm Accent Chair, 28.15""W",https://m.media-amazon.com/images/I/A1n9ZOzRyQL._SX512_.jpg,187.8572,181.8767,178.6182,73.7071,1.6833,2.5823,22.298,Refreshed,Positiva - Baja activación,7.7,Thirsty,11.89,Relaxed,12.85
Amazon Berkeley Objects,Hogar - Sillas,Amazon Brand Movian Dofsan Chair 100 x 93 x 86 cm Grey,https://m.media-amazon.com/images/I/61WTOkHRcZL._SX512_.jpg,199.5314,197.4645,196.6316,79.3001,0.6149,0.7171,19.796,Refreshed,Positiva - Baja activación,8.78,Soothed,10.18,Relaxed,13.91
Amazon Berkeley Objects,Tecnología - Auriculares,"AmazonBasics Gaming Headset for Xbox One, PS4",https://m.media-amazon.com/images/I/81sOaAo4RQL._SX512_.jpg,186.8936,186.6234,185.4269,73.7453,-0.0494,0.708,36.1437,Refreshed,Positiva - Baja activación,6.38,Thirsty,10.41,Relaxed,10.48
Amazon Berkeley Objects,Hogar - Camas,"Stone & Beam Tisbury Nailhead Trim Queen Bed, 66""W, Spinnsol Cocoa",https://m.media-amazon.com/images/I/81cVhl8HXmL._SX512_.jpg,226.7332,223.1966,219.6181,88.8078,0.6993,2.3372,14.9382,Soothed,Positiva - Baja activación,14.37,Refreshed,16.27,Relaxed,21.98
Amazon Berkeley Objects,Moda - Zapatos,"The Fix Amazon Brand Women's Bond Studded Block Heel Dress Sandal,Matte Silver Mirror,10 B US",https://m.media-amazon.com/images/I/81cKm0WAVPL._SX512_.jpg,213.6431,207.9469,204.6147,83.0363,1.8051,2.7734,24.7159,Refreshed,Positiva - Baja activación,11.94,Soothed,12.8,Relaxed,18.07
Amazon Berkeley Objects,Moda - Zapatos,Stanton Men's Black Loafers-6 UK (40 EU) (7 US) (FK/YT1893/BLK),https://m.media-amazon.com/images/I/71ll6wbV7yL._SX512_.jpg,127.7957,128.8963,131.3873,51.1191,0.1894,-1.6264,39.0149,Sleepy,Negativa - Baja activación,9.18,Bored,9.42,Thirsty,14.82
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Arthur Harvey Men's BLACK Leather Formal Shoes - 9 UK (AZ-ST-004A),https://m.media-amazon.com/images/I/71Eal7ed8dL._SX512_.jpg,131.9866,129.7558,130.4923,51.6621,1.1621,-0.0772,39.5489,Bored,Negativa - Baja activación,10.49,Sleepy,10.8,Thirsty,14.82
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - find. Men's Suede Penny Loafers,https://m.media-amazon.com/images/I/61PHhyVeHuL._SX512_.jpg,111.9897,108.7925,106.5364,42.6272,0.9329,1.753,42.7505,Bored,Negativa - Baja activación,5.86,Sleepy,9.33,Irritated,16.36
Amazon Berkeley Objects,Moda - Zapatos,Amazon Essentials Women's Shelly,https://m.media-amazon.com/images/I/612Tj+d+c2L._SX512_.jpg,220.791,220.1644,224.5585,87.8245,1.0401,-2.1203,11.3693,Soothed,Positiva - Baja activación,11.87,Refreshed,16.34,Relaxed,20.19
Amazon Berkeley Objects,Moda - Zapatos,"find. Men's Leather Moccasin, Brown Burgundy, womens 12",https://m.media-amazon.com/images/I/71Y6z1zPKQL._SX512_.jpg,213.8593,212.5414,212.6809,83.7864,0.6213,0.1316,31.038,Soothed,Positiva - Baja activación,10.49,Refreshed,12.16,Relaxed,17.05
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Grey Synthetic Formal Shoes - 8 UK (AZ-KY-292B),https://m.media-amazon.com/images/I/812jtub4q9L._SX512_.jpg,147.277,144.1382,142.858,57.9526,1.0919,1.2242,35.454,Thirsty,Neutral - Sensorial,9.86,Relaxed,16.33,Sleepy,16.49
Amazon Berkeley Objects,Hogar - Camas,Stone & Beam Javier Burnished Bronze Bed,https://m.media-amazon.com/images/I/81vZtM-Bb0L._SX512_.jpg,221.9363,219.5404,217.4653,86.8661,0.5506,1.4558,24.6406,Soothed,Positiva - Baja activación,12.64,Refreshed,14.52,Relaxed,19.98
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - 206 Collective Men's Barnes Suede Casual Oxford, Gray, 9.5 D US",https://m.media-amazon.com/images/I/81suw1YJL+L._SX512_.jpg,161.241,157.1205,154.0739,63.7246,1.1218,2.2868,29.1516,Thirsty,Neutral - Sensorial,7.58,Refreshed,12.52,Relaxed,13.25
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Essentials Belice Ballet Flat, Black, 12.5 M US",https://m.media-amazon.com/images/I/61LXr87tpJL._SX512_.jpg,144.4641,141.5325,142.1859,56.1989,1.5217,0.0445,40.9167,Thirsty,Neutral - Sensorial,11.14,Sleepy,14.52,Bored,14.84
Amazon Berkeley Objects,Moda - Zapatos,"Zapatillas de Deporte de Puma para Mujer, Blanco, Gris (White/Glacier Gray), 8.5 US",https://m.media-amazon.com/images/I/71D+fMU4yzL._SX512_.jpg,250.8465,250.8677,251.4449,98.5565,0.0943,-0.2764,4.8501,Soothed,Positiva - Baja activación,20.67,Refreshed,25.51,Calm,29.05
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Sneakers,https://m.media-amazon.com/images/I/81WY1x3Sj0L._SX512_.jpg,225.1447,223.7306,223.0056,88.0825,0.4848,0.6352,27.5687,Soothed,Positiva - Baja activación,12.86,Refreshed,15.68,Relaxed,20.75
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand: Find Driver Women's Slipper,https://m.media-amazon.com/images/I/71Xc-lEjOAL._SX512_.jpg,239.7004,240.5212,240.9908,94.6912,-0.1791,-0.3194,13.5319,Soothed,Positiva - Baja activación,17.16,Refreshed,21.75,Calm,25.72
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's White Sneakers-11 UK/India (46 EU) (AZ-YS-187 C),https://m.media-amazon.com/images/I/715AhvOEe4L._SX512_.jpg,245.3723,245.7535,246.0049,96.6278,-0.0796,-0.174,10.6067,Soothed,Positiva - Baja activación,18.93,Refreshed,23.6,Calm,27.4
Amazon Berkeley Objects,Hogar - Mesas,"Amazon Brand – Ravenna Home Angela Modern Turned Leg Wood Shelf Storage Coffee Table, 44""W, Grey",https://m.media-amazon.com/images/I/61LgxujFuOL._SX512_.jpg,225.4873,225.494,224.7363,89.3682,-0.1463,0.3915,15.9306,Soothed,Positiva - Baja activación,13.25,Refreshed,16.65,Relaxed,21.58
Amazon Berkeley Objects,Hogar - Alfombras,"Amazon Brand – Rivet Modern Geometric Wool Area Rug, 4 x 6 Foot, Blue, Grey, Brown",https://m.media-amazon.com/images/I/81hmIvQwu8L._SX512_.jpg,115.126,104.9258,91.1201,43.3447,2.2442,9.0733,29.1446,Anxious,Negativa - Alta activación,12.17,Irritated,12.68,Bored,13.33
Amazon Berkeley Objects,Moda - Zapatos,"find. Sneaker Stringata in Pelle, Donna, Rosa (Pink), 36 EU",https://m.media-amazon.com/images/I/81QPAtnq4nL._SX512_.jpg,246.2397,237.8801,231.4005,94.4633,2.2485,4.5418,11.9687,Soothed,Positiva - Baja activación,20.15,Refreshed,22.12,Happy,24.02
Amazon Berkeley Objects,Hogar - Sillas,25010030 Nietenmuster Hellblau,https://m.media-amazon.com/images/I/B1Pgqf7gJuS._SX512_.jpg,170.5576,186.2831,186.4302,74.2238,-5.3895,-1.9287,12.743,Refreshed,Positiva - Baja activación,4.97,Relaxed,5.84,Soothed,7.25
Amazon Berkeley Objects,Moda - Bolsos,"Amazon Brand - The Fix Hampton 2 - Bolso de piel para bolso de círculos, color azul",https://m.media-amazon.com/images/I/91MSSh71WhL._SX512_.jpg,157.2015,176.1008,193.6699,69.9539,-1.3261,-11.6449,29.5531,Relaxed,Positiva - Baja activación,9.42,Thirsty,11.45,Calm,11.53
Amazon Berkeley Objects,Moda - Zapatos,"The Drop Lyon Block Heeled Strappy Sandal, Black, 8.5 (US) 6.5 (UK)",https://m.media-amazon.com/images/I/61W5qn3rW-L._SX512_.jpg,187.0437,183.6498,180.4081,72.3158,0.7856,2.2182,39.8833,Refreshed,Positiva - Baja activación,7.04,Thirsty,10.24,Relaxed,11.6
Amazon Berkeley Objects,Moda - Pendientes,[アマゾンコレクション] Amazon Collection 14Kイエローゴールド マイクロパヴェ3mm ラウンド ファンシーピンクスワロフスキージルコニア スタッド ピアス 両耳用スタッドピアス JEE13567_5NNRD00A100,https://m.media-amazon.com/images/I/61pPYXUap6L._SX512_.jpg,250.6277,248.6964,248.382,97.8878,0.6888,0.4728,9.6938,Soothed,Positiva - Baja activación,20.52,Refreshed,24.93,Calm,29.01
Amazon Berkeley Objects,Hogar - Sofás,ROSSINI CANOVA 3 SEATER MAXI,https://m.media-amazon.com/images/I/71uyDy+jQcL._SX512_.jpg,207.0826,206.7407,207.2587,82.0996,0.2435,-0.2348,26.4799,Soothed,Positiva - Baja activación,9.49,Refreshed,10.73,Relaxed,15.4
Amazon Berkeley Objects,Moda - Zapatos,find. Bottes Chelsea Homme,https://m.media-amazon.com/images/I/71oRK0YSljL._SX512_.jpg,228.5059,225.4389,223.9561,88.9652,1.1436,1.4625,26.1518,Soothed,Positiva - Baja activación,14.23,Refreshed,16.65,Relaxed,22.02
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symactive Men's Running Shoes,https://m.media-amazon.com/images/I/91VsDWkfYXL._SX512_.jpg,171.8486,159.2567,156.1868,64.4123,5.1301,3.2984,39.6007,Thirsty,Neutral - Sensorial,11.45,Refreshed,14.69,Relaxed,16.51
Amazon Berkeley Objects,Moda - Zapatos,"find. Amazon Brand Men's Suede, Braun Brown, US 7",https://m.media-amazon.com/images/I/617BQI-ukLL._SX512_.jpg,145.6567,134.4753,129.4087,54.3259,4.3742,5.253,39.6212,Anxious,Negativa - Alta activación,11.06,Irritated,12.46,Sensual,14.01
Amazon Berkeley Objects,Moda - Zapatos,"find. Marco-03w4-002 Stivaletti alla Caviglia, Nero, 7",https://m.media-amazon.com/images/I/71XcuvZ0c9L._SX512_.jpg,183.7796,183.4271,183.7981,71.8976,0.2416,-0.1618,40.5382,Refreshed,Positiva - Baja activación,7.31,Thirsty,8.86,Relaxed,9.74
Amazon Berkeley Objects,Hogar - Alfombras,"Stone & Beam Mid-Century Modern Blooming Medallion Rug, 4' x 6', Dark Grey",https://m.media-amazon.com/images/I/A194kPVvFmL._SX512_.jpg,121.3551,110.7843,102.6684,46.699,2.9176,6.1349,20.6229,Anxious,Negativa - Alta activación,11.3,Bored,11.55,Irritated,11.81
Amazon Berkeley Objects,Moda - Zapatos,"find. Women's Open Toe Sandals, Beige Tan, 6 us",https://m.media-amazon.com/images/I/61FngxG+eEL._SX512_.jpg,246.5545,235.8162,224.013,93.847,2.4952,7.5679,12.2698,Happy,Positiva - Alta activación,21.13,Soothed,21.59,Refreshed,22.07
Amazon Berkeley Objects,Hogar - Sillas,AmazonBasics Classic Faux Leather Extra Padded Recliner Chair - Brown (Renewed),https://m.media-amazon.com/images/I/91udGka1EiL._SX512_.jpg,139.5223,130.9142,129.969,53.1364,3.487,1.906,36.659,Bored,Negativa - Baja activación,13.08,Anxious,13.57,Sleepy,13.89
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Formal Shoes,https://m.media-amazon.com/images/I/71SIqRAjp0L._SX512_.jpg,156.0133,146.4816,143.1494,59.4618,3.4828,3.506,35.1783,Thirsty,Neutral - Sensorial,11.53,Anxious,15.3,Sensual,16.33
Amazon Berkeley Objects,Moda - Zapatos,Flavia Women's Black Running Shoes-9 UK (41 EU) (10 US) (FKT/FB-03FK/BLK),https://m.media-amazon.com/images/I/71aZEGItROL._SX512_.jpg,190.1919,190.1549,190.0582,74.7034,-0.0048,0.0538,38.4868,Refreshed,Positiva - Baja activación,6.72,Relaxed,10.56,Soothed,10.66
Amazon Berkeley Objects,Moda - Sombreros,"Goodthreads Soft Cotton Cable Knit Beanie skull-caps, schwarz, One Size",https://m.media-amazon.com/images/I/91DEZm50DKL._SX512_.jpg,102.2229,98.7832,103.491,39.7739,2.5708,-2.2761,36.2117,Bored,Negativa - Baja activación,3.81,Sleepy,7.81,Sad,12.67
Amazon Berkeley Objects,Hogar - Sillas,"Stone & Beam - Reloj de Pulsera, Color marrón, Piedra y Haz",https://m.media-amazon.com/images/I/71Z0NoClYmL._SX512_.jpg,137.7828,130.2961,119.9391,54.016,0.9996,6.74,21.4296,Anxious,Negativa - Alta activación,12.84,Irritated,14.69,Thirsty,15.27
Amazon Berkeley Objects,Hogar - Lámparas,Amazon Brand – Stone & Beam Modern Crystal Glass Rectangle Table Desk Lamp With Bulb And White Shade - 18 x 12 x 12 Inches,https://m.media-amazon.com/images/I/81oTHF1PcUL._SX512_.jpg,240.6584,240.5032,241.1714,94.9288,0.1755,-0.3018,7.8455,Soothed,Positiva - Baja activación,17.52,Refreshed,22.07,Calm,26.08
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symactive Men's Black Walking Shoes-6 UK (40 EU) (7 US) (SYM-YS-009B),https://m.media-amazon.com/images/I/81qpmnO3a3L._SX512_.jpg,166.8,163.4934,165.6261,65.0745,1.8645,-0.6835,38.3214,Thirsty,Neutral - Sensorial,6.99,Relaxed,11.84,Refreshed,12.45
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Navy Suede Sneakers-8 UK/India (42 EU) (AZ-YS-196 A),https://m.media-amazon.com/images/I/81iQbWaCmXL._SX512_.jpg,224.2454,226.1614,227.4487,88.899,-0.2861,-1.0973,25.9777,Soothed,Positiva - Baja activación,12.18,Refreshed,16.47,Relaxed,20.78
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - 206 Colectivo Carla Zapatillas Casuales con Cordones para Mujer, Lona Blanca, 11 M US",https://m.media-amazon.com/images/I/71d3MrSq3IL._SX512_.jpg,241.721,239.6474,235.8888,94.6756,0.0519,2.1052,7.1627,Soothed,Positiva - Baja activación,18.19,Refreshed,21.56,Happy,26.47
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Red Sneakers-11 (AZ-YS-190 B),https://m.media-amazon.com/images/I/81aQCiX3qJL._SX512_.jpg,201.6357,158.6646,165.158,69.8119,17.8362,6.682,32.2594,Romantic,Positiva - Alta activación,9.01,Sensual,18.19,Anxious,21.33
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Women's Brown Ballet Flats-3 UK (36 EU) (6 US) (SYM-WS-005),https://m.media-amazon.com/images/I/816qdpPbPnL._SX512_.jpg,171.6347,154.9173,147.4532,63.4541,5.977,6.9479,34.4494,Thirsty,Neutral - Sensorial,14.25,Anxious,15.58,Romantic,16.21
Amazon Berkeley Objects,Moda - Sombreros,Jeff & Aimy Women Wool Knitted Beanie Skull Winter Cold Weather Warm Nylon Ski Fashion Hunting Fishing Fleece Navy,https://m.media-amazon.com/images/I/61wJ-mznqTL._SX512_.jpg,111.3064,111.6547,116.6994,43.3348,1.1455,-3.2397,44.8451,Bored,Negativa - Baja activación,1.92,Sleepy,4.95,Sad,13.64
Amazon Berkeley Objects,Hogar - Sillas,"Cream Swatch, Ravenna Home",https://m.media-amazon.com/images/I/916B5JgdShL._SX512_.jpg,188.4607,178.5256,176.3679,73.477,3.1428,2.3685,5.0853,Refreshed,Positiva - Baja activación,9.18,Thirsty,12.54,Relaxed,13.8
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - find. Leather, Men’s Brogues",https://m.media-amazon.com/images/I/71ZjAf1AoSL._SX512_.jpg,225.4316,222.3752,221.7965,87.8033,1.2671,0.8937,27.2292,Soothed,Positiva - Baja activación,13.3,Refreshed,15.74,Relaxed,20.92
Amazon Berkeley Objects,Moda - Zapatos,"find. Fairfax Derbys, Red Burgundy, 12.5 US",https://m.media-amazon.com/images/I/71yghvxdkJL._SX512_.jpg,227.3912,218.6823,217.0022,87.1577,3.6172,2.7551,26.7135,Soothed,Positiva - Baja activación,15.51,Refreshed,16.3,Relaxed,22.12
Amazon Berkeley Objects,Moda - Zapatos,find. Aaron Men's Brogues,https://m.media-amazon.com/images/I/71l9wMhLetL._SX512_.jpg,195.4647,156.9724,135.7222,67.156,13.5513,18.2514,29.329,Hungry,Neutral - Sensorial,12.73,Energized,13.3,Romantic,16.54
Amazon Berkeley Objects,Moda - Zapatos,"find. Suede Derbys, Blau Blue), 47 EU",https://m.media-amazon.com/images/I/61Hk+gg1lUL._SX512_.jpg,136.3602,131.6269,131.5029,52.5709,2.1441,0.605,39.8398,Bored,Negativa - Baja activación,11.73,Sleepy,12.18,Thirsty,14.57
Amazon Berkeley Objects,Moda - Zapatos,Bourge Men's Pearl-5 Grey and Red Running Shoes-12 UK (46 EU) (13 US) (Vega Pearl-5-12),https://m.media-amazon.com/images/I/81QVM3t6hBL._SX512_.jpg,230.0254,222.7789,221.5734,89.0923,2.5474,2.2783,20.3378,Soothed,Positiva - Baja activación,15.57,Refreshed,17.36,Relaxed,22.99
Amazon Berkeley Objects,Moda - Sombreros,"Thirty Five Kent - Gorra de cachemira para hombre, Carbón, One Size",https://m.media-amazon.com/images/I/81fbeys9ZhL._SX512_.jpg,94.6124,91.8123,92.5143,36.1774,1.3479,0.0063,39.3658,Bored,Negativa - Baja activación,7.2,Sleepy,11.02,Tired,11.84
Amazon Berkeley Objects,Moda - Zapatos,Amazon Brand - Symbol Men's Leather Boat shoes - 9 UK/India (43 EU)(AZ-OM-69A),https://m.media-amazon.com/images/I/81SUA6XJazL._SX512_.jpg,216.2357,215.738,216.776,85.0079,0.4306,-0.5436,30.077,Soothed,Positiva - Baja activación,10.49,Refreshed,13.23,Relaxed,17.78
